run_id,backbone,model_name,budget_flops,n_active_params,train_flops_per_clip,metric_a_error_f1,metric_a_error_acc,metric_b_error,clips_seen_D,global_batch,steps_done,seed,status
vit_base_C1p0e18,vit_base,vit_base,1e+18,132667776,5464809013248,,,0.8081636428833008,240000,96,,,done
vit_base_C1p0e19,vit_base,vit_base,1e+19,132667776,5464809013248,,,0.7016077041625977,2496000,96,,,done
vit_base_C3p0e17,vit_base,vit_base,3e+17,132667776,5464809013248,,,0.8686427474021912,96000,96,,,done
vit_base_C3p0e18,vit_base,vit_base,3e+18,132667776,5464809013248,,,0.7276210784912109,768000,96,,,done
vit_giant_C1p0e18,vit_giant,vit_giant,1e+18,1065411712,29057869676544,,,0.8548230528831482,48000,96,,,done
vit_giant_C1p0e19,vit_giant,vit_giant,1e+19,1065411712,29057869676544,,,0.7161675095558167,384000,96,,,done
vit_giant_C3p0e18,vit_giant,vit_giant,3e+18,1065411712,29057869676544,,,0.9254974722862244,96000,96,,,done
vit_gigantic_C1p0e18,vit_gigantic,vit_gigantic,1e+18,1900801664,48784654467072,,,0.9321348071098328,48000,96,,,done
vit_gigantic_C1p0e19,vit_gigantic,vit_gigantic,1e+19,1900801664,48784654467072,,,0.81339430809021,192000,96,,,done
vit_gigantic_C3p0e18,vit_gigantic,vit_gigantic,3e+18,1900801664,48784654467072,,,0.9322124719619751,48000,96,,,done
vit_large_C1p0e18,vit_large,vit_large,1e+18,352646016,11345156112384,,,0.8350589275360107,96000,96,,,done
vit_large_C1p0e19,vit_large,vit_large,1e+19,352646016,11345156112384,,,0.7851459980010986,1008000,96,,,done
vit_large_C3p0e17,vit_large,vit_large,3e+17,352646016,11345156112384,,,0.9399698376655579,48000,96,,,done
vit_large_C3p0e18,vit_large,vit_large,3e+18,352646016,11345156112384,,,0.7699194550514221,288000,96,,,done
vit_small_C1p0e18,vit_small,vit_small,1e+18,65804928,3725347258368,,,0.8403897881507874,432000,96,,,done
vit_small_C3p0e17,vit_small,vit_small,3e+17,65804928,3725347258368,,,0.9190934896469116,144000,96,,,done
vit_small_C3p0e18,vit_small,vit_small,3e+18,65804928,3725347258368,,,0.7873888611793518,1296000,96,,,done
vit_tiny_C1p0e18,vit_tiny,vit_tiny,1e+18,48741120,3198072913920,,,0.8884693384170532,576000,96,,,done
vit_tiny_C3p0e17,vit_tiny,vit_tiny,3e+17,48741120,3198072913920,,,0.9431183338165283,192000,96,,,done
vit_tiny_C3p0e18,vit_tiny,vit_tiny,3e+18,48741120,3198072913920,,,0.8500480055809021,1728000,96,,,done
