run_id,backbone,model_name,budget_flops,n_active_params,train_flops_per_clip,loss_main,loss_stability,loss_source,metric_a_error_f1,metric_a_error_acc,metric_b_error,clips_seen_D,global_batch,steps_done,seed,status
vit_base_C1p0e18,vit_base,vit_base,1e+18,134443392,5464809013248,0.415544,0.019720,train_running_mean,,,0.862720,192000,96,2043,239,done
vit_base_C1p0e19,vit_base,vit_base,1e+19,134443392,5464809013248,0.288110,0.006344,train_running_mean,,,0.741442,1824000,96,21828,239,done
vit_base_C3p0e18,vit_base,vit_base,3e+18,134443392,5464809013248,0.351617,0.011659,train_running_mean,,,0.811237,528000,96,5695,239,done
vit_giant_C1p0e18,vit_giant,vit_giant,1e+18,1068666368,29057869676544,0.535619,0.112336,train_running_mean,,,0.956765,48000,96,500,239,unconverged
vit_giant_C1p0e19,vit_giant,vit_giant,1e+19,1068666368,29057869676544,0.221012,0.037204,train_running_mean,,,0.901353,336000,96,5593,239,unconverged
vit_giant_C3p0e18,vit_giant,vit_giant,3e+18,1068666368,29057869676544,0.337708,0.108269,train_running_mean,,,0.937829,96000,96,1360,239,unconverged
vit_giant_C3p0e19,vit_giant,vit_giant,3e+19,1068666368,29057869676544,0.127505,0.018234,train_running_mean,,,0.915717,1056000,96,18264,239,unconverged
vit_gigantic_C1p0e18,vit_gigantic,vit_gigantic,1e+18,1904647936,48784654467072,0.578054,0.092337,train_running_mean,,,0.949371,48000,96,500,239,unconverged
vit_gigantic_C1p0e19,vit_gigantic,vit_gigantic,1e+19,1904647936,48784654467072,0.291258,0.083118,train_running_mean,,,0.960393,192000,96,2797,239,unconverged
vit_gigantic_C3p0e18,vit_gigantic,vit_gigantic,3e+18,1904647936,48784654467072,0.538447,0.104574,train_running_mean,,,0.953618,48000,96,500,239,unconverged
vit_gigantic_C3p0e19,vit_gigantic,vit_gigantic,3e+19,1904647936,48784654467072,0.184978,0.033716,train_running_mean,,,0.926056,624000,96,9531,239,unconverged
vit_large_C1p0e18,vit_large,vit_large,1e+18,355013248,11345156112384,0.444336,0.072070,train_running_mean,,,0.907773,96000,96,1000,239,unconverged
vit_large_C1p0e19,vit_large,vit_large,1e+19,355013248,11345156112384,0.243710,0.014985,train_running_mean,,,0.819429,864000,96,11375,239,done
vit_large_C3p0e18,vit_large,vit_large,3e+18,355013248,11345156112384,0.314333,0.029817,train_running_mean,,,0.852300,288000,96,3512,239,done
vit_large_C3p0e19,vit_large,vit_large,3e+19,355013248,11345156112384,0.242211,0.016798,train_running_mean,,,0.753540,2640000,96,44021,239,done
vit_small_C1p0e18,vit_small,vit_small,1e+18,66693120,3725347258368,0.506265,0.015181,train_running_mean,,,0.862536,288000,96,3212,239,done
vit_small_C1p0e19,vit_small,vit_small,1e+19,66693120,3725347258368,0.380022,0.009235,train_running_mean,,,0.793186,2688000,96,24703,239,incomplete
vit_small_C3p0e18,vit_small,vit_small,3e+18,66693120,3725347258368,0.439338,0.009972,train_running_mean,,,0.801041,816000,96,9204,239,done
vit_tiny_C1p0e18,vit_tiny,vit_tiny,1e+18,49185600,3198072913920,0.565634,0.018998,train_running_mean,,,0.896231,336000,96,3770,239,done
vit_tiny_C3p0e18,vit_tiny,vit_tiny,3e+18,49185600,3198072913920,0.574563,0.012345,train_running_mean,,,0.872206,960000,96,14674,239,done
