cell,model,budget,budget_flops,n_params,clips_seen_D,d_run,n_tokens,metric_b_ridge,cka_linear,cka_rbf,mutual_knn,procrustes,rankme
vit_base_C1p0e17,vit_base,1p0e17,1e+17,134443392,28800,768,7680,0.9154080748558044,0.9114650636911392,0.9031609743833542,0.91305,1.8569501638412476,0.8050480484962463
vit_base_C1p0e18,vit_base,1p0e18,1e+18,134443392,240000,768,7680,0.8134257793426514,0.8681933730840683,0.8531892001628876,0.92675,1.837157130241394,0.8755995035171509
vit_base_C1p0e19,vit_base,1p0e19,1e+19,134443392,2496000,768,7680,0.7055458426475525,0.786891907453537,0.7101258039474487,0.9107999999999999,1.8086193799972534,0.7025773723920186
vit_base_C3p0e17,vit_base,3p0e17,3e+17,134443392,96000,768,7680,0.8681043386459351,0.8936546519398689,0.8764810860157013,0.9082,1.8478819131851196,0.8982663750648499
vit_base_C3p0e18,vit_base,3p0e18,3e+18,134443392,768000,768,7680,0.7385889887809753,0.7670531272888184,0.7453609704971313,0.92005,1.8008660078048706,0.7966819405555725
vit_giant_C1p0e18,vit_giant,1p0e18,1e+18,1068666368,48000,1408,7680,0.8582922220230103,0.918004147708416,0.9092661142349243,0.92245,1.8609400987625122,0.9553793695839968
vit_giant_C1p0e19,vit_giant,1p0e19,1e+19,1068666368,384000,1408,7680,0.7308620810508728,0.8952315002679825,0.8633470982313156,0.91605,1.837145447731018,0.942672913724726
vit_giant_C3p0e18,vit_giant,3p0e18,3e+18,1068666368,96000,1408,7680,0.920881986618042,0.9521557576954365,0.9445690922439098,0.90605,1.8697788715362549,0.9835924966768785
vit_gigantic_C1p0e18,vit_gigantic,1p0e18,1e+18,1904647936,48000,1664,7680,0.9330186247825623,0.9571618512272835,0.9525621198117733,0.925,1.875603199005127,0.9972027391195297
vit_gigantic_C1p0e19,vit_gigantic,1p0e19,1e+19,1904647936,192000,1664,7680,0.8194035291671753,0.9228596389293671,0.8989831283688545,0.9256,1.8608853816986084,0.9794570322220142
vit_gigantic_C3p0e18,vit_gigantic,3p0e18,3e+18,1904647936,48000,1664,7680,0.9328911304473877,0.9583408758044243,0.9481135904788971,0.9345,1.8758326768875122,0.9980839357639735
vit_large_C1p0e17,vit_large,1p0e17,1e+17,355013248,9600,1024,7680,0.9153348207473755,0.9284513890743256,0.9289690554141998,0.92,1.8600959777832031,0.7696169316768646
vit_large_C1p0e18,vit_large,1p0e18,1e+18,355013248,96000,1024,7680,0.8387699127197266,0.9061674177646637,0.8876229897141457,0.92325,1.852529764175415,0.924580916762352
vit_large_C1p0e19,vit_large,1p0e19,1e+19,355013248,1008000,1024,7680,0.794326901435852,0.9457189850509167,0.9431591518223286,0.93155,1.8692721128463745,0.9878943329676986
vit_large_C3p0e17,vit_large,3p0e17,3e+17,355013248,48000,1024,7680,0.9342222213745117,0.9408515393733978,0.933487243950367,0.93755,1.8677507638931274,0.9693682994693518
vit_large_C3p0e18,vit_large,3p0e18,3e+18,355013248,288000,1024,7680,0.7765865325927734,0.8885344639420509,0.8614816963672638,0.9171,1.8367998600006104,0.90580203384161
vit_small_C1p0e17,vit_small,1p0e17,1e+17,66693120,48000,384,7680,0.9407806396484375,0.9122568815946579,0.8971568867564201,0.9271,1.8603571653366089,0.732239584128062
vit_small_C1p0e18,vit_small,1p0e18,1e+18,66693120,432000,384,7680,0.8342717289924622,0.8866500779986382,0.8331546485424042,0.94125,1.8378134965896606,0.7857462167739868
vit_small_C3p0e17,vit_small,3p0e17,3e+17,66693120,144000,384,7680,0.9151607155799866,0.923269048333168,0.8772505223751068,0.92635,1.8600608110427856,0.8180887699127197
vit_small_C3p0e18,vit_small,3p0e18,3e+18,66693120,1296000,384,7680,0.7810319662094116,0.8111442774534225,0.7515620440244675,0.93085,1.8263033628463745,0.6386187473932903
vit_tiny_C1p0e17,vit_tiny,1p0e17,1e+17,49185600,57600,192,7680,0.9615087509155273,0.9168448969721794,0.9047003537416458,0.9416,1.8654221296310425,0.6338455677032471
vit_tiny_C1p0e18,vit_tiny,1p0e18,1e+18,49185600,576000,192,7680,0.8772232532501221,0.9276949614286423,0.8908277899026871,0.95415,1.8552085161209106,0.7230567336082458
vit_tiny_C3p0e17,vit_tiny,3p0e17,3e+17,49185600,192000,192,7680,0.9376617074012756,0.9181372597813606,0.8902548104524612,0.9309000000000001,1.8603814840316772,0.7839635411898295
vit_tiny_C3p0e18,vit_tiny,3p0e18,3e+18,49185600,1728000,192,7680,0.8367970585823059,0.8444589227437973,0.7870652377605438,0.94735,1.842454433441162,0.5388540426890056
